location,TIME,cpi-index
AUS,Sep-1948,3.7
AUS,Dec-1948,3.8
AUS,Mar-1949,3.9
AUS,Jun-1949,4
AUS,Sep-1949,4.1
AUS,Dec-1949,4.1
AUS,Mar-1950,4.2
AUS,Jun-1950,4.3
AUS,Sep-1950,4.4
AUS,Dec-1950,4.6
AUS,Mar-1951,4.8
AUS,Jun-1951,5.1
AUS,Sep-1951,5.3
AUS,Dec-1951,5.7
AUS,Mar-1952,5.9
AUS,Jun-1952,6.1
AUS,Sep-1952,6.2
AUS,Dec-1952,6.3
AUS,Mar-1953,6.3
AUS,Jun-1953,6.4
AUS,Sep-1953,6.5
AUS,Dec-1953,6.4
AUS,Mar-1954,6.5
AUS,Jun-1954,6.5
AUS,Sep-1954,6.5
AUS,Dec-1954,6.5
AUS,Mar-1955,6.5
AUS,Jun-1955,6.6
AUS,Sep-1955,6.6
AUS,Dec-1955,6.7
AUS,Mar-1956,6.7
AUS,Jun-1956,7
AUS,Sep-1956,7.1
AUS,Dec-1956,7.1
AUS,Mar-1957,7.1
AUS,Jun-1957,7.2
AUS,Sep-1957,7.2
AUS,Dec-1957,7.2
AUS,Mar-1958,7.2
AUS,Jun-1958,7.2
AUS,Sep-1958,7.2
AUS,Dec-1958,7.3
AUS,Mar-1959,7.3
AUS,Jun-1959,7.3
AUS,Sep-1959,7.4
AUS,Dec-1959,7.5
AUS,Mar-1960,7.5
AUS,Jun-1960,7.6
AUS,Sep-1960,7.7
AUS,Dec-1960,7.8
AUS,Mar-1961,7.8
AUS,Jun-1961,7.9
AUS,Sep-1961,7.8
AUS,Dec-1961,7.8
AUS,Mar-1962,7.8
AUS,Jun-1962,7.8
AUS,Sep-1962,7.8
AUS,Dec-1962,7.8
AUS,Mar-1963,7.8
AUS,Jun-1963,7.8
AUS,Sep-1963,7.9
AUS,Dec-1963,7.9
AUS,Mar-1964,8
AUS,Jun-1964,8
AUS,Sep-1964,8.1
AUS,Dec-1964,8.2
AUS,Mar-1965,8.2
AUS,Jun-1965,8.3
AUS,Sep-1965,8.4
AUS,Dec-1965,8.5
AUS,Mar-1966,8.6
AUS,Jun-1966,8.6
AUS,Sep-1966,8.6
AUS,Dec-1966,8.7
AUS,Mar-1967,8.8
AUS,Jun-1967,8.9
AUS,Sep-1967,9
AUS,Dec-1967,9
AUS,Mar-1968,9.1
AUS,Jun-1968,9.1
AUS,Sep-1968,9.2
AUS,Dec-1968,9.2
AUS,Mar-1969,9.4
AUS,Jun-1969,9.4
AUS,Sep-1969,9.5
AUS,Dec-1969,9.5
AUS,Mar-1970,9.6
AUS,Jun-1970,9.7
AUS,Sep-1970,9.8
AUS,Dec-1970,10
AUS,Mar-1971,10.1
AUS,Jun-1971,10.2
AUS,Sep-1971,10.5
AUS,Dec-1971,10.7
AUS,Mar-1972,10.8
AUS,Jun-1972,10.9
AUS,Sep-1972,11.1
AUS,Dec-1972,11.2
AUS,Mar-1973,11.4
AUS,Jun-1973,11.8
AUS,Sep-1973,12.2
AUS,Dec-1973,12.6
AUS,Mar-1974,13
AUS,Jun-1974,13.5
AUS,Sep-1974,14.2
