Date,Open,High,Low,Close
2/11/2022,92.67,95.96,92.33,95.73
31/10/2022,86.35,98.75,86.35,94.83
30/09/2022,95.18,96.99,83.65,87.96
31/08/2022,103.92,105.48,91.51,96.49
29/07/2022,109.49,114.75,94.5,110.01
30/06/2022,116.08,125.19,107.03,114.81
31/05/2022,106.3,125.28,101.3,122.84
29/04/2022,105.25,114.84,97.57,109.34
31/03/2022,98.43,139.13,96.93,107.91
28/02/2022,89.62,105.79,87.72,100.99
31/01/2022,78.11,91.7,77.04,91.21
31/12/2021,69.8,80.17,65.72,77.78
30/11/2021,83.63,85.5,70.22,70.57
29/10/2021,78.49,86.7,77.55,84.38
30/09/2021,71.68,80.75,70.42,78.52
31/08/2021,75.39,75.39,64.6,72.99
30/07/2021,74.69,77.84,67.44,76.33
30/06/2021,69.39,76.6,69.29,75.13
31/05/2021,66.7,70.24,64.57,69.32
30/04/2021,63.12,68.95,61.25,67.25
31/03/2021,64.85,71.38,60.27,63.54
26/02/2021,54.91,67.7,54.6,66.13
29/01/2021,51.5,57.42,50.56,55.88
31/12/2020,47.79,52.48,46.82,51.8
30/11/2020,37.37,49.09,35.74,47.59
30/10/2020,42.17,43.57,36.64,37.46
30/09/2020,45.6,46.22,39.3,40.95
31/08/2020,43.53,46.53,42.89,45.28
31/07/2020,41.58,44.89,41.03,43.3
30/06/2020,37.56,43.93,37.01,41.15
29/05/2020,26.95,36.98,25.5,35.33
30/04/2020,25.99,36.4,15.98,25.27
31/03/2020,48.95,53.9,21.65,22.74
28/02/2020,56.16,60,50.05,50.52
31/01/2020,66.41,71.75,57.71,58.16
31/12/2019,60.73,68.99,60.3,66
29/11/2019,59.45,64.6,59.4,62.43
31/10/2019,59.38,62.34,56.15,60.23
30/09/2019,58.8,71.95,57.23,60.78
30/08/2019,64.09,64.54,55.88,60.43
31/07/2019,65.05,67.65,61.29,65.17
28/06/2019,61.64,66.85,59.45,66.55
31/05/2019,71.73,73.4,64.37,64.49
30/04/2019,67.58,75.6,67.58,72.8
29/03/2019,66.48,68.89,64.02,68.39
28/02/2019,61.06,67.73,60.46,66.03
31/01/2019,54.12,63.15,52.51,61.89
31/12/2018,59.98,63.73,49.93,53.8
30/11/2018,74.69,74.99,57.5,58.71
31/10/2018,82.79,86.74,75.09,75.47
28/09/2018,77.69,82.87,75.64,82.72
31/08/2018,74.07,78.03,70.3,77.42
31/07/2018,78.55,79.51,71.19,74.25
29/06/2018,77.71,79.7,72.45,79.44
31/05/2018,74.65,80.5,72.38,77.59
30/04/2018,69.32,75.47,66.69,75.17
30/03/2018,64.57,71.05,63.19,70.27
28/02/2018,69,70.02,61.76,65.78
31/01/2018,66.55,71.28,66.24,69.05
29/12/2017,62.74,67.1,61.13,66.87
30/11/2017,61.07,64.65,60,63.57
31/10/2017,56.73,61.41,55.06,61.37
29/09/2017,52.84,59.49,51.99,57.54
31/08/2017,52.7,53.64,50,52.38
31/07/2017,48.95,52.92,46.11,52.65
30/06/2017,51.17,51.45,44.35,47.92
31/05/2017,51.88,54.67,46.64,50.31
28/04/2017,53.62,56.65,50.45,51.73
31/03/2017,56.45,57.05,49.71,52.83
28/02/2017,55.55,57.45,54.44,55.59
31/01/2017,57.05,58.37,53.58,55.7
30/12/2016,51.72,57.89,51.51,56.82
30/11/2016,48.72,50.49,43.57,50.47
31/10/2016,50.02,53.73,47.98,48.3
30/09/2016,46.98,50.14,45.09,49.06
31/08/2016,43.11,51.22,41.51,47.04
29/07/2016,49.9,50.75,41.8,42.46
30/06/2016,49.65,52.86,46.69,49.68
31/05/2016,47.37,50.51,43.33,49.69
29/04/2016,40.14,48.5,37.27,48.13
31/03/2016,36.6,42.54,35.95,39.6
29/02/2016,35.85,37,29.92,35.97
29/01/2016,37.85,38.99,27.1,34.74
31/12/2015,44.62,45.18,35.98,37.28
30/11/2015,49.5,50.91,43.15,44.61
30/10/2015,48.4,54.05,46.41,49.56
30/09/2015,52.92,53.47,45.98,48.37
31/08/2015,51.55,54.32,42.23,54.15
31/07/2015,63.02,63.35,51.63,52.21
30/06/2015,65.59,66.36,60.94,63.59
29/05/2015,66.78,69.63,61.24,65.56
30/04/2015,55.18,66.93,54,66.78
31/03/2015,62.5,62.5,52.5,55.11
27/02/2015,52.68,63,51.41,62.58
30/01/2015,58.02,58.54,45.19,52.99
31/12/2014,70.15,73.03,55.81,57.33
28/11/2014,85.85,86.4,69.78,70.15
31/10/2014,94.77,96.23,82.6,85.86
30/09/2014,102.95,103.3,94.24,94.67
29/08/2014,105.6,106.85,101.07,103.19
31/07/2014,112.5,112.83,104.39,106.02
30/06/2014,109.7,115.71,107.77,112.36
30/05/2014,108.08,111.04,106.85,109.41
30/04/2014,107.66,110.65,103.95,108.07
31/03/2014,109.44,112.39,105.41,107.76
28/02/2014,106.4,110.82,105.4,109.07
31/01/2014,111,111.35,105.44,106.4
31/12/2013,109.6,113.02,107.8,110.8
29/11/2013,109.05,111.66,102.98,109.69
31/10/2013,108.38,112,106.27,108.84
30/09/2013,114,116.56,107.22,108.37
30/08/2013,107.81,117.34,105.85,114.01
31/07/2013,101.9,109.72,101.63,107.7
28/06/2013,100.15,106.67,99.66,102.16
31/05/2013,101.82,105.94,98.76,100.39
30/04/2013,110.15,111.79,96.75,102.37
29/03/2013,110.9,112.23,106.8,110.02
28/02/2013,115.77,119.17,110.87,111.38
31/01/2013,111.5,115.76,109.45,115.55
31/12/2012,110.96,112.33,106.63,111.11
30/11/2012,108.49,112.2,104.76,111.23
31/10/2012,112.34,116.2,106.8,108.7
28/09/2012,114.7,117.95,107.1,112.39
31/08/2012,104.4,117.03,104.06,114.57
