DateTime,Value
31/03/1990,8.7
30/06/1990,7.7
30/09/1990,6.1
31/12/1990,6.9
31/03/1991,4.8
30/06/1991,3.3
30/09/1991,3.1
31/12/1991,1.5
31/03/1992,1.7
30/06/1992,1.2
30/09/1992,0.8
31/12/1992,0.3
31/03/1993,1.2
30/06/1993,1.8
30/09/1993,2.2
31/12/1993,1.8
31/03/1994,1.5
30/06/1994,1.8
30/09/1994,2
31/12/1994,2.6
31/03/1995,3.7
30/06/1995,4.5
30/09/1995,5.1
31/12/1995,5.1
31/03/1996,3.8
30/06/1996,3.1
30/09/1996,2.1
31/12/1996,1.5
31/03/1997,1.4
30/06/1997,0.3
30/09/1997,-0.5
31/12/1997,-0.3
31/03/1998,-0.2
30/06/1998,0.8
30/09/1998,1.4
31/12/1998,1.5
31/03/1999,1.2
30/06/1999,1
30/09/1999,1.8
31/12/1999,1.9
31/03/2000,2.8
30/06/2000,3.1
30/09/2000,6.1
31/12/2000,5.8
31/03/2001,6
30/06/2001,6.1
30/09/2001,2.5
31/12/2001,3.2
31/03/2002,3
30/06/2002,2.8
30/09/2002,3.2
31/12/2002,2.9
31/03/2003,3.3
30/06/2003,2.6
30/09/2003,2.6
31/12/2003,2.5
31/03/2004,2
30/06/2004,2.5
30/09/2004,2.3
31/12/2004,2.5
31/03/2005,2.4
30/06/2005,2.5
30/09/2005,3.1
31/12/2005,2.8
31/03/2006,2.9
30/06/2006,4
30/09/2006,4
31/12/2006,3.3
31/03/2007,2.5
30/06/2007,2.1
30/09/2007,1.9
31/12/2007,2.9
31/03/2008,4.3
30/06/2008,4.5
30/09/2008,5
31/12/2008,3.7
31/03/2009,2.4
30/06/2009,1.4
30/09/2009,1.2
31/12/2009,2.1
31/03/2010,2.9
30/06/2010,3.1
30/09/2010,2.9
31/12/2010,2.8
31/03/2011,3.3
30/06/2011,3.6
30/09/2011,3.4
31/12/2011,3
31/03/2012,1.6
30/06/2012,1.2
30/09/2012,2
31/12/2012,2.2
31/03/2013,2.5
30/06/2013,2.4
30/09/2013,2.2
31/12/2013,2.7
31/03/2014,2.9
30/06/2014,3
30/09/2014,2.3
31/12/2014,1.7
31/03/2015,1.3
30/06/2015,1.5
30/09/2015,1.5
31/12/2015,1.7
31/03/2016,1.3
30/06/2016,1
30/09/2016,1.3
31/12/2016,1.5
31/03/2017,2.1
30/06/2017,1.9
30/09/2017,1.8
31/12/2017,1.9
31/03/2018,1.9
30/06/2018,2.1
30/09/2018,1.9
31/12/2018,1.8
31/03/2019,1.3
30/06/2019,1.6
30/09/2019,1.7
31/12/2019,1.8
31/03/2020,2.2
30/06/2020,-0.3
30/09/2020,0.7
31/12/2020,0.9
31/03/2021,1.1
30/06/2021,3.8
30/09/2021,3
31/12/2021,3.5
31/03/2022,5.1
30/06/2022,6.1
30/09/2022,7.3
