Date,Value
1/11/2022,94.43
31/10/2022,93.17
28/10/2022,95.01
27/10/2022,94.73
26/10/2022,93.32
25/10/2022,92.56
24/10/2022,92.17
21/10/2022,92.09
20/10/2022,92.48
19/10/2022,89.29
18/10/2022,90.82
17/10/2022,92.16
14/10/2022,94.17
13/10/2022,93.66
12/10/2022,95.12
11/10/2022,96.03
10/10/2022,99.13
7/10/2022,97.44
6/10/2022,95.81
5/10/2022,94.06
4/10/2022,92.14
3/10/2022,90.69
30/9/2022,92.34
29/9/2022,92.76
28/9/2022,90.27
27/9/2022,89.81
26/9/2022,89.5
23/9/2022,92.67
22/9/2022,95.51
21/9/2022,96.31
20/9/2022,96.55
19/9/2022,95.2
16/9/2022,95.7
15/9/2022,97.3
14/9/2022,97.57
13/9/2022,98.38
12/9/2022,97.42
9/9/2022,95.2
8/9/2022,92.59
7/9/2022,95.88
6/9/2022,98.95
5/9/2022,99.76
2/9/2022,99.13
1/9/2022,98.19
31/8/2022,101.04
30/8/2022,106.41
29/8/2022,104.85
26/8/2022,103.89
25/8/2022,104.63
24/8/2022,104.05
23/8/2022,101.93
22/8/2022,98.72
19/8/2022,99.66
18/8/2022,98.22
17/8/2022,95.73
16/8/2022,97.44
15/8/2022,100.04
12/8/2022,103.83
11/8/2022,103.2
10/8/2022,101.29
9/8/2022,100.92
8/8/2022,100.78
5/8/2022,100.01
4/8/2022,101.19
3/8/2022,104.18
2/8/2022,104.86
1/8/2022,106.8
29/7/2022,110.84
28/7/2022,110.79
27/7/2022,108.05
26/7/2022,109.3
25/7/2022,106.22
22/7/2022,107.6
21/7/2022,107.44
20/7/2022,109.87
19/7/2022,110.22
18/7/2022,108.7
15/7/2022,104.33
14/7/2022,102.61
13/7/2022,104.36
12/7/2022,106.81
11/7/2022,108.8
8/7/2022,109.02
7/7/2022,105.25
6/7/2022,106.67
5/7/2022,114.24
4/7/2022,115.25
1/7/2022,113.15
30/6/2022,115.6
29/6/2022,117.63
28/6/2022,117.55
27/6/2022,114.88
24/6/2022,112.35
23/6/2022,111.09
22/6/2022,111
21/6/2022,115.97
20/6/2022,113.39
17/6/2022,118.97
16/6/2022,119.24
15/6/2022,121.07
14/6/2022,123.73
13/6/2022,120.66
10/6/2022,123.19
9/6/2022,123.21
8/6/2022,121.54
7/6/2022,120.16
6/6/2022,119.85
3/6/2022,117.15
2/6/2022,114.62
1/6/2022,117.07
31/5/2022,122.94
30/5/2022,120.01
27/5/2022,118.84
26/5/2022,116.5
25/5/2022,115.83
24/5/2022,114.96
23/5/2022,115.95
20/5/2022,114.69
19/5/2022,111.94
18/5/2022,114.84
17/5/2022,117.1
16/5/2022,112.98
13/5/2022,112.27
12/5/2022,109.2
11/5/2022,108.92
10/5/2022,108.08
9/5/2022,112.38
6/5/2022,114.27
5/5/2022,112.94
4/5/2022,110.73
3/5/2022,109.7
2/5/2022,110.09
29/4/2022,107.99
28/4/2022,105.3
27/4/2022,105.33
26/4/2022,102.94
25/4/2022,101.93
22/4/2022,107.66
21/4/2022,108.81
20/4/2022,107.97
19/4/2022,110.52
18/4/2022,110.54
14/4/2022,108.52
13/4/2022,106.07
12/4/2022,102.41
11/4/2022,100.08
8/4/2022,101.06
7/4/2022,100.16
6/4/2022,106.17
5/4/2022,108.08
4/4/2022,106.26
1/4/2022,104.93
31/3/2022,107.74
30/3/2022,110.46
29/3/2022,110.05
28/3/2022,113.39
25/3/2022,115.99
24/3/2022,118.72
23/3/2022,116.79
22/3/2022,114.44
21/3/2022,113.65
18/3/2022,108.93
17/3/2022,104.77
16/3/2022,103.87
15/3/2022,102.67
14/3/2022,110.48
11/3/2022,113.1
10/3/2022,117.04
9/3/2022,128.27
8/3/2022,127.74
7/3/2022,126.32
4/3/2022,112.96
3/3/2022,116.87
2/3/2022,112.01
1/3/2022,103.7
28/2/2022,98.96
25/2/2022,96.41
24/2/2022,100.95
23/2/2022,95.84
22/2/2022,97.68
21/2/2022,94.04
18/2/2022,92.55
17/2/2022,93.78
16/2/2022,95.07
15/2/2022,94.48
14/2/2022,94.92
11/2/2022,92.61
10/2/2022,92.62
9/2/2022,91.59
8/2/2022,91.92
7/2/2022,93.18
4/2/2022,92.59
3/2/2022,89.73
2/2/2022,89.94
1/2/2022,90.22
31/1/2022,90.73
28/1/2022,89.97
27/1/2022,90.04
26/1/2022,89.18
25/1/2022,87.19
24/1/2022,87.83
21/1/2022,87.3
20/1/2022,88.39
19/1/2022,88.33
18/1/2022,87.93
17/1/2022,86.38
14/1/2022,85.3
13/1/2022,84.56
12/1/2022,84.19
11/1/2022,81.97
10/1/2022,81.6
7/1/2022,82
6/1/2022,80.65
5/1/2022,79.92
4/1/2022,78.78
3/1/2022,77.86
31/12/2021,77.97
30/12/2021,78.33
29/12/2021,78.17
28/12/2021,77.39
27/12/2021,75.63
24/12/2021,75.5
23/12/2021,75.16
22/12/2021,73.99
21/12/2021,72.18
20/12/2021,70.94
17/12/2021,74.23
16/12/2021,74.66
15/12/2021,73.12
14/12/2021,74.28
13/12/2021,75.04
10/12/2021,74.07
9/12/2021,75.41
8/12/2021,75.13
7/12/2021,74.65
6/12/2021,71.45
3/12/2021,71.65
2/12/2021,70.07
1/12/2021,71.67
30/11/2021,71.01
29/11/2021,74.2
26/11/2021,76.09
25/11/2021,81.31
24/11/2021,81.75
23/11/2021,79.4
22/11/2021,78.9
19/11/2021,80.32
18/11/2021,79.37
