location,cpi-index,year,month
AUS,3.7,1948,9
AUS,3.8,1948,12
AUS,3.9,1949,3
AUS,4.0,1949,6
AUS,4.1,1949,9
AUS,4.1,1949,12
AUS,4.2,1950,3
AUS,4.3,1950,6
AUS,4.4,1950,9
AUS,4.6,1950,12
AUS,4.8,1951,3
AUS,5.1,1951,6
AUS,5.3,1951,9
AUS,5.7,1951,12
AUS,5.9,1952,3
AUS,6.1,1952,6
AUS,6.2,1952,9
AUS,6.3,1952,12
AUS,6.3,1953,3
AUS,6.4,1953,6
AUS,6.5,1953,9
AUS,6.4,1953,12
AUS,6.5,1954,3
AUS,6.5,1954,6
AUS,6.5,1954,9
AUS,6.5,1954,12
AUS,6.5,1955,3
AUS,6.6,1955,6
AUS,6.6,1955,9
AUS,6.7,1955,12
AUS,6.7,1956,3
AUS,7.0,1956,6
AUS,7.1,1956,9
AUS,7.1,1956,12
AUS,7.1,1957,3
AUS,7.2,1957,6
AUS,7.2,1957,9
AUS,7.2,1957,12
AUS,7.2,1958,3
AUS,7.2,1958,6
AUS,7.2,1958,9
AUS,7.3,1958,12
AUS,7.3,1959,3
AUS,7.3,1959,6
AUS,7.4,1959,9
AUS,7.5,1959,12
AUS,7.5,1960,3
AUS,7.6,1960,6
AUS,7.7,1960,9
AUS,7.8,1960,12
AUS,7.8,1961,3
AUS,7.9,1961,6
AUS,7.8,1961,9
AUS,7.8,1961,12
AUS,7.8,1962,3
AUS,7.8,1962,6
AUS,7.8,1962,9
AUS,7.8,1962,12
AUS,7.8,1963,3
AUS,7.8,1963,6
AUS,7.9,1963,9
AUS,7.9,1963,12
AUS,8.0,1964,3
AUS,8.0,1964,6
AUS,8.1,1964,9
AUS,8.2,1964,12
AUS,8.2,1965,3
AUS,8.3,1965,6
AUS,8.4,1965,9
AUS,8.5,1965,12
AUS,8.6,1966,3
AUS,8.6,1966,6
AUS,8.6,1966,9
AUS,8.7,1966,12
AUS,8.8,1967,3
AUS,8.9,1967,6
AUS,9.0,1967,9
AUS,9.0,1967,12
AUS,9.1,1968,3
AUS,9.1,1968,6
AUS,9.2,1968,9
AUS,9.2,1968,12
AUS,9.4,1969,3
AUS,9.4,1969,6
AUS,9.5,1969,9
AUS,9.5,1969,12
AUS,9.6,1970,3
AUS,9.7,1970,6
AUS,9.8,1970,9
AUS,10.0,1970,12
AUS,10.1,1971,3
AUS,10.2,1971,6
AUS,10.5,1971,9
AUS,10.7,1971,12
AUS,10.8,1972,3
AUS,10.9,1972,6
AUS,11.1,1972,9
AUS,11.2,1972,12
AUS,11.4,1973,3
AUS,11.8,1973,6
AUS,12.2,1973,9
AUS,12.6,1973,12
AUS,13.0,1974,3
AUS,13.5,1974,6
AUS,14.2,1974,9
AUS,14.7,1974,12
AUS,15.3,1975,3
AUS,15.8,1975,6
AUS,15.9,1975,9
AUS,16.8,1975,12
AUS,17.3,1976,3
AUS,17.7,1976,6
AUS,18.1,1976,9
AUS,19.2,1976,12
AUS,19.6,1977,3
AUS,20.1,1977,6
AUS,20.5,1977,9
AUS,21.0,1977,12
AUS,21.3,1978,3
AUS,21.7,1978,6
AUS,22.1,1978,9
AUS,22.6,1978,12
AUS,23.0,1979,3
AUS,23.6,1979,6
AUS,24.2,1979,9
AUS,24.9,1979,12
AUS,25.4,1980,3
AUS,26.2,1980,6
AUS,26.6,1980,9
AUS,27.2,1980,12
AUS,27.8,1981,3
AUS,28.4,1981,6
AUS,29.0,1981,9
AUS,30.2,1981,12
AUS,30.8,1982,3
AUS,31.5,1982,6
AUS,32.6,1982,9
AUS,33.6,1982,12
AUS,34.3,1983,3
AUS,35.0,1983,6
AUS,35.6,1983,9
AUS,36.5,1983,12
AUS,36.3,1984,3
AUS,36.4,1984,6
AUS,36.9,1984,9
AUS,37.4,1984,12
AUS,37.9,1985,3
AUS,38.8,1985,6
AUS,39.7,1985,9
AUS,40.5,1985,12
AUS,41.4,1986,3
AUS,42.1,1986,6
AUS,43.2,1986,9
AUS,44.4,1986,12
AUS,45.3,1987,3
AUS,46.0,1987,6
AUS,46.8,1987,9
AUS,47.6,1987,12
AUS,48.4,1988,3
AUS,49.3,1988,6
AUS,50.2,1988,9
AUS,51.2,1988,12
AUS,51.7,1989,3
AUS,53.0,1989,6
AUS,54.2,1989,9
AUS,55.2,1989,12
AUS,56.2,1990,3
AUS,57.1,1990,6
AUS,57.5,1990,9
AUS,59.0,1990,12
AUS,58.9,1991,3
AUS,59.0,1991,6
AUS,59.3,1991,9
AUS,59.9,1991,12
AUS,59.9,1992,3
AUS,59.7,1992,6
AUS,59.8,1992,9
AUS,60.1,1992,12
AUS,60.6,1993,3
AUS,60.8,1993,6
AUS,61.1,1993,9
AUS,61.2,1993,12
AUS,61.5,1994,3
AUS,61.9,1994,6
AUS,62.3,1994,9
AUS,62.8,1994,12
AUS,63.8,1995,3
AUS,64.7,1995,6
AUS,65.5,1995,9
AUS,66.0,1995,12
AUS,66.2,1996,3
AUS,66.7,1996,6
AUS,66.9,1996,9
AUS,67.0,1996,12
AUS,67.1,1997,3
AUS,66.9,1997,6
AUS,66.6,1997,9
AUS,66.8,1997,12
AUS,67.0,1998,3
AUS,67.4,1998,6
AUS,67.5,1998,9
AUS,67.8,1998,12
