energy_price,year,month,location
30.43,2003,1,AUS
31.845,2003,2,AUS
29.8,2003,3,AUS
25.38,2003,4,AUS
26.17,2003,5,AUS
26.7,2003,6,AUS
27.38,2003,7,AUS
28.8,2003,8,AUS
26.36,2003,9,AUS
28.16,2003,10,AUS
28.515,2003,11,AUS
29.64,2003,12,AUS
30.37,2004,1,AUS
29.729999999999997,2004,2,AUS
32.3,2004,3,AUS
32.54,2004,4,AUS
36.4,2004,5,AUS
34.405,2004,6,AUS
36.325,2004,7,AUS
40.06,2004,8,AUS
39.31,2004,9,AUS
45.19,2004,10,AUS
38.644999999999996,2004,11,AUS
35.54,2004,12,AUS
41.08,2005,1,AUS
41.64,2005,2,AUS
49.33,2005,3,AUS
49.25,2005,4,AUS
47.25,2005,5,AUS
51.795,2005,6,AUS
53.13,2005,7,AUS
58.1,2005,8,AUS
57.71,2005,9,AUS
54.27,2005,10,AUS
50.565,2005,11,AUS
52.85,2005,12,AUS
58.58,2006,1,AUS
56.225,2006,2,AUS
57.69,2006,3,AUS
65.02,2006,4,AUS
64.98,2006,5,AUS
64.715,2006,6,AUS
68.46,2006,7,AUS
68.24,2006,8,AUS
58.85,2006,9,AUS
55.019999999999996,2006,10,AUS
55.275,2006,11,AUS
58.015,2006,12,AUS
50.870000000000005,2007,1,AUS
53.995000000000005,2007,2,AUS
58.055,2007,3,AUS
63.785,2007,4,AUS
64.45,2007,5,AUS
67.38,2007,6,AUS
72.1,2007,7,AUS
68.29,2007,8,AUS
74.56,2007,9,AUS
80.03,2007,10,AUS
88.61,2007,11,AUS
87.185,2007,12,AUS
88.265,2008,1,AUS
91.21,2008,2,AUS
99.24000000000001,2008,3,AUS
106.19,2008,4,AUS
119.255,2008,5,AUS
129.44,2008,6,AUS
133.09,2008,7,AUS
111.27,2008,8,AUS
97.79,2008,9,AUS
64.63,2008,10,AUS
47.845,2008,11,AUS
38.19,2008,12,AUS
41.03,2009,1,AUS
41.72,2009,2,AUS
44.43,2009,3,AUS
50.25,2009,4,AUS
56.76,2009,5,AUS
68.7,2009,6,AUS
64.68,2009,7,AUS
71.53,2009,8,AUS
67.39,2009,9,AUS
74.045,2009,10,AUS
76.25,2009,11,AUS
74.015,2009,12,AUS
76.16,2010,1,AUS
73.055,2010,2,AUS
77.27,2010,3,AUS
82.36,2010,4,AUS
73.25,2010,5,AUS
72.87,2010,6,AUS
73.05,2010,7,AUS
73.05,2010,8,AUS
74.91,2010,9,AUS
79.86,2010,10,AUS
82.555,2010,11,AUS
88.59,2010,12,AUS
92.95,2011,1,AUS
98.46000000000001,2011,2,AUS
110.23,2011,3,AUS
117.97999999999999,2011,4,AUS
108.505,2011,5,AUS
109.72999999999999,2011,6,AUS
112.68,2011,7,AUS
105.91,2011,8,AUS
108.37,2011,9,AUS
107.68,2011,10,AUS
109.85,2011,11,AUS
107.49,2011,12,AUS
111.73,2012,1,AUS
117.94,2012,2,AUS
123.02,2012,3,AUS
117.225,2012,4,AUS
108.14,2012,5,AUS
95.03,2012,6,AUS
100.0,2012,7,AUS
110.22,2012,8,AUS
111.375,2012,9,AUS
108.77,2012,10,AUS
107.015,2012,11,AUS
106.505,2012,12,AUS
109.08000000000001,2013,1,AUS
113.19,2013,2,AUS
106.515,2013,3,AUS
100.67500000000001,2013,4,AUS
100.54,2013,5,AUS
100.91,2013,6,AUS
104.97,2013,7,AUS
107.005,2013,8,AUS
109.04,2013,9,AUS
106.76,2013,10,AUS
105.02,2013,11,AUS
107.83,2013,12,AUS
104.48,2014,1,AUS
105.75,2014,2,AUS
103.83,2014,3,AUS
104.81,2014,4,AUS
105.785,2014,5,AUS
108.81,2014,6,AUS
105.3,2014,7,AUS
100.06,2014,8,AUS
95.32499999999999,2014,9,AUS
83.19,2014,10,AUS
75.285,2014,11,AUS
57.41,2014,12,AUS
43.69,2015,1,AUS
53.695,2015,2,AUS
51.955,2015,3,AUS
57.55,2015,4,AUS
62.23,2015,5,AUS
60.125,2015,6,AUS
