Subject,LOCATION,Country,Interest-Rate,Year,Month
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",AUS,Australia,5.0,2000,1
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",AUS,Australia,5.48,2000,2
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",AUS,Australia,5.5,2000,3
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",AUS,Australia,5.72,2000,4
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",AUS,Australia,5.98,2000,5
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",AUS,Australia,6.0,2000,6
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",AUS,Australia,6.0,2000,7
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",AUS,Australia,6.24,2000,8
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",AUS,Australia,6.25,2000,9
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",AUS,Australia,6.25,2000,10
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",AUS,Australia,6.25,2000,11
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",AUS,Australia,6.25,2000,12
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",AUS,Australia,6.25,2001,1
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",AUS,Australia,5.85,2001,2
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",AUS,Australia,5.55,2001,3
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",AUS,Australia,5.06,2001,4
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",AUS,Australia,5.0,2001,5
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",AUS,Australia,5.0,2001,6
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",AUS,Australia,5.0,2001,7
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",AUS,Australia,5.0,2001,8
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",AUS,Australia,4.78,2001,9
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",AUS,Australia,4.52,2001,10
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",AUS,Australia,4.5,2001,11
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",AUS,Australia,4.28,2001,12
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",AUS,Australia,4.25,2002,1
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",AUS,Australia,4.25,2002,2
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",AUS,Australia,4.25,2002,3
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",AUS,Australia,4.25,2002,4
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",AUS,Australia,4.45,2002,5
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",AUS,Australia,4.72,2002,6
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",AUS,Australia,4.75,2002,7
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",AUS,Australia,4.75,2002,8
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",AUS,Australia,4.75,2002,9
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",AUS,Australia,4.75,2002,10
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",AUS,Australia,4.75,2002,11
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",AUS,Australia,4.75,2002,12
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",AUS,Australia,4.75,2003,1
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",AUS,Australia,4.75,2003,2
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",AUS,Australia,4.75,2003,3
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",AUS,Australia,4.75,2003,4
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",AUS,Australia,4.75,2003,5
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",AUS,Australia,4.75,2003,6
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",AUS,Australia,4.75,2003,7
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",AUS,Australia,4.75,2003,8
