inflation,year,month,location,inflation_lag_6m
4.8,1991,3,AUS,8.7
3.3,1991,6,AUS,7.7
3.1,1991,9,AUS,6.1
1.5,1991,12,AUS,6.9
1.7,1992,3,AUS,4.8
1.2,1992,6,AUS,3.3
0.8,1992,9,AUS,3.1
0.3,1992,12,AUS,1.5
1.2,1993,3,AUS,1.7
1.8,1993,6,AUS,1.2
2.2,1993,9,AUS,0.8
1.8,1993,12,AUS,0.3
1.5,1994,3,AUS,1.2
1.8,1994,6,AUS,1.8
2.0,1994,9,AUS,2.2
2.6,1994,12,AUS,1.8
3.7,1995,3,AUS,1.5
4.5,1995,6,AUS,1.8
5.1,1995,9,AUS,2.0
5.1,1995,12,AUS,2.6
3.8,1996,3,AUS,3.7
3.1,1996,6,AUS,4.5
2.1,1996,9,AUS,5.1
1.5,1996,12,AUS,5.1
1.4,1997,3,AUS,3.8
0.3,1997,6,AUS,3.1
-0.5,1997,9,AUS,2.1
-0.3,1997,12,AUS,1.5
-0.2,1998,3,AUS,1.4
0.8,1998,6,AUS,0.3
1.4,1998,9,AUS,-0.5
1.5,1998,12,AUS,-0.3
1.2,1999,3,AUS,-0.2
1.0,1999,6,AUS,0.8
1.8,1999,9,AUS,1.4
1.9,1999,12,AUS,1.5
2.8,2000,3,AUS,1.2
3.1,2000,6,AUS,1.0
6.1,2000,9,AUS,1.8
5.8,2000,12,AUS,1.9
6.0,2001,3,AUS,2.8
6.1,2001,6,AUS,3.1
2.5,2001,9,AUS,6.1
3.2,2001,12,AUS,5.8
3.0,2002,3,AUS,6.0
2.8,2002,6,AUS,6.1
3.2,2002,9,AUS,2.5
2.9,2002,12,AUS,3.2
3.3,2003,3,AUS,3.0
2.6,2003,6,AUS,2.8
2.6,2003,9,AUS,3.2
2.5,2003,12,AUS,2.9
2.0,2004,3,AUS,3.3
2.5,2004,6,AUS,2.6
2.3,2004,9,AUS,2.6
2.5,2004,12,AUS,2.5
2.4,2005,3,AUS,2.0
2.5,2005,6,AUS,2.5
3.1,2005,9,AUS,2.3
2.8,2005,12,AUS,2.5
2.9,2006,3,AUS,2.4
4.0,2006,6,AUS,2.5
4.0,2006,9,AUS,3.1
3.3,2006,12,AUS,2.8
2.5,2007,3,AUS,2.9
2.1,2007,6,AUS,4.0
1.9,2007,9,AUS,4.0
2.9,2007,12,AUS,3.3
4.3,2008,3,AUS,2.5
4.5,2008,6,AUS,2.1
5.0,2008,9,AUS,1.9
3.7,2008,12,AUS,2.9
2.4,2009,3,AUS,4.3
1.4,2009,6,AUS,4.5
1.2,2009,9,AUS,5.0
2.1,2009,12,AUS,3.7
2.9,2010,3,AUS,2.4
3.1,2010,6,AUS,1.4
2.9,2010,9,AUS,1.2
2.8,2010,12,AUS,2.1
3.3,2011,3,AUS,2.9
3.6,2011,6,AUS,3.1
3.4,2011,9,AUS,2.9
3.0,2011,12,AUS,2.8
1.6,2012,3,AUS,3.3
1.2,2012,6,AUS,3.6
2.0,2012,9,AUS,3.4
2.2,2012,12,AUS,3.0
2.5,2013,3,AUS,1.6
2.4,2013,6,AUS,1.2
2.2,2013,9,AUS,2.0
2.7,2013,12,AUS,2.2
2.9,2014,3,AUS,2.5
3.0,2014,6,AUS,2.4
2.3,2014,9,AUS,2.2
1.7,2014,12,AUS,2.7
1.3,2015,3,AUS,2.9
1.5,2015,6,AUS,3.0
1.5,2015,9,AUS,2.3
1.7,2015,12,AUS,1.7
1.3,2016,3,AUS,1.3
1.0,2016,6,AUS,1.5
1.3,2016,9,AUS,1.5
1.5,2016,12,AUS,1.7
2.1,2017,3,AUS,1.3
1.9,2017,6,AUS,1.0
1.8,2017,9,AUS,1.3
1.9,2017,12,AUS,1.5
1.9,2018,3,AUS,2.1
2.1,2018,6,AUS,1.9
1.9,2018,9,AUS,1.8
1.8,2018,12,AUS,1.9
1.3,2019,3,AUS,1.9
1.6,2019,6,AUS,2.1
1.7,2019,9,AUS,1.9
1.8,2019,12,AUS,1.8
2.2,2020,3,AUS,1.3
-0.3,2020,6,AUS,1.6
0.7,2020,9,AUS,1.7
0.9,2020,12,AUS,1.8
1.1,2021,3,AUS,2.2
3.8,2021,6,AUS,-0.3
3.0,2021,9,AUS,0.7
3.5,2021,12,AUS,0.9
5.1,2022,3,AUS,1.1
6.1,2022,6,AUS,3.8
7.3,2022,9,AUS,3.0
5.7,1991,1,USA,5.2
5.3,1991,2,USA,5.3
4.9,1991,3,USA,5.2
4.9,1991,4,USA,4.7
5.0,1991,5,USA,4.4
4.7,1991,6,USA,4.7
4.4,1991,7,USA,4.8
3.8,1991,8,USA,5.6
3.4,1991,9,USA,6.2
2.9,1991,10,USA,6.3
3.0,1991,11,USA,6.3
3.1,1991,12,USA,6.1
2.6,1992,1,USA,5.7
2.8,1992,2,USA,5.3
3.2,1992,3,USA,4.9
3.2,1992,4,USA,4.9
3.0,1992,5,USA,5.0
3.1,1992,6,USA,4.7
3.2,1992,7,USA,4.4
3.1,1992,8,USA,3.8
3.0,1992,9,USA,3.4
3.2,1992,10,USA,2.9
3.0,1992,11,USA,3.0
2.9,1992,12,USA,3.1
3.3,1993,1,USA,2.6
3.2,1993,2,USA,2.8
3.1,1993,3,USA,3.2
3.2,1993,4,USA,3.2
3.2,1993,5,USA,3.0
3.0,1993,6,USA,3.1
2.8,1993,7,USA,3.2
2.8,1993,8,USA,3.1
2.7,1993,9,USA,3.0
2.8,1993,10,USA,3.2
2.7,1993,11,USA,3.0
2.7,1993,12,USA,2.9
2.5,1994,1,USA,3.3
2.5,1994,2,USA,3.2
2.5,1994,3,USA,3.1
2.4,1994,4,USA,3.2
2.3,1994,5,USA,3.2
2.5,1994,6,USA,3.0
2.8,1994,7,USA,2.8
2.9,1994,8,USA,2.8
3.0,1994,9,USA,2.7
2.6,1994,10,USA,2.8
2.7,1994,11,USA,2.7
2.7,1994,12,USA,2.7
2.8,1995,1,USA,2.5
2.9,1995,2,USA,2.5
