location,interest_rate,year,month
AUS,5.0,2000,1
AUS,5.48,2000,2
AUS,5.5,2000,3
AUS,5.72,2000,4
AUS,5.98,2000,5
AUS,6.0,2000,6
AUS,6.0,2000,7
AUS,6.24,2000,8
AUS,6.25,2000,9
AUS,6.25,2000,10
AUS,6.25,2000,11
AUS,6.25,2000,12
AUS,6.25,2001,1
AUS,5.85,2001,2
AUS,5.55,2001,3
AUS,5.06,2001,4
AUS,5.0,2001,5
AUS,5.0,2001,6
AUS,5.0,2001,7
AUS,5.0,2001,8
AUS,4.78,2001,9
AUS,4.52,2001,10
AUS,4.5,2001,11
AUS,4.28,2001,12
AUS,4.25,2002,1
AUS,4.25,2002,2
AUS,4.25,2002,3
AUS,4.25,2002,4
AUS,4.45,2002,5
AUS,4.72,2002,6
AUS,4.75,2002,7
AUS,4.75,2002,8
AUS,4.75,2002,9
AUS,4.75,2002,10
AUS,4.75,2002,11
AUS,4.75,2002,12
AUS,4.75,2003,1
AUS,4.75,2003,2
AUS,4.75,2003,3
AUS,4.75,2003,4
AUS,4.75,2003,5
AUS,4.75,2003,6
AUS,4.75,2003,7
AUS,4.75,2003,8
AUS,4.75,2003,9
AUS,4.75,2003,10
AUS,4.98,2003,11
AUS,5.23,2003,12
AUS,5.25,2004,1
AUS,5.25,2004,2
AUS,5.25,2004,3
AUS,5.25,2004,4
AUS,5.25,2004,5
AUS,5.25,2004,6
AUS,5.25,2004,7
AUS,5.25,2004,8
AUS,5.25,2004,9
AUS,5.25,2004,10
AUS,5.25,2004,11
AUS,5.25,2004,12
AUS,5.25,2005,1
AUS,5.25,2005,2
AUS,5.49,2005,3
AUS,5.5,2005,4
AUS,5.5,2005,5
AUS,5.5,2005,6
AUS,5.5,2005,7
AUS,5.5,2005,8
AUS,5.5,2005,9
AUS,5.5,2005,10
AUS,5.5,2005,11
AUS,5.5,2005,12
AUS,5.5,2006,1
AUS,5.5,2006,2
AUS,5.5,2006,3
AUS,5.5,2006,4
AUS,5.73,2006,5
AUS,5.75,2006,6
AUS,5.75,2006,7
AUS,5.99,2006,8
AUS,6.0,2006,9
AUS,6.0,2006,10
AUS,6.19,2006,11
AUS,6.25,2006,12
AUS,6.25,2007,1
AUS,6.25,2007,2
AUS,6.25,2007,3
AUS,6.25,2007,4
AUS,6.25,2007,5
AUS,6.25,2007,6
AUS,6.25,2007,7
AUS,6.45,2007,8
AUS,6.5,2007,9
AUS,6.5,2007,10
AUS,6.7,2007,11
AUS,6.75,2007,12
AUS,6.75,2008,1
AUS,6.96,2008,2
AUS,7.22,2008,3
AUS,7.25,2008,4
AUS,7.25,2008,5
AUS,7.25,2008,6
AUS,7.25,2008,7
AUS,7.25,2008,8
AUS,7.02,2008,9
AUS,6.18,2008,10
AUS,5.33,2008,11
AUS,4.35,2008,12
AUS,4.25,2009,1
AUS,3.35,2009,2
AUS,3.25,2009,3
AUS,3.06,2009,4
AUS,3.0,2009,5
AUS,3.0,2009,6
AUS,3.0,2009,7
AUS,3.0,2009,8
AUS,3.0,2009,9
AUS,3.21,2009,10
AUS,3.48,2009,11
AUS,3.74,2009,12
AUS,3.75,2010,1
AUS,3.75,2010,2
AUS,3.98,2010,3
AUS,4.22,2010,4
AUS,4.48,2010,5
AUS,4.5,2010,6
AUS,4.5,2010,7
AUS,4.5,2010,8
AUS,4.5,2010,9
AUS,4.5,2010,10
AUS,4.73,2010,11
AUS,4.75,2010,12
AUS,4.75,2011,1
AUS,4.75,2011,2
AUS,4.75,2011,3
AUS,4.75,2011,4
AUS,4.75,2011,5
AUS,4.75,2011,6
AUS,4.75,2011,7
AUS,4.75,2011,8
AUS,4.75,2011,9
AUS,4.75,2011,10
AUS,4.51,2011,11
AUS,4.3,2011,12
AUS,4.25,2012,1
AUS,4.25,2012,2
AUS,4.25,2012,3
AUS,4.25,2012,4
AUS,3.77,2012,5
AUS,3.54,2012,6
AUS,3.5,2012,7
AUS,3.5,2012,8
AUS,3.5,2012,9
AUS,3.27,2012,10
AUS,3.25,2012,11
AUS,3.03,2012,12
AUS,3.0,2013,1
AUS,3.0,2013,2
AUS,3.0,2013,3
AUS,3.0,2013,4
AUS,2.8,2013,5
AUS,2.75,2013,6
AUS,2.75,2013,7
AUS,2.55,2013,8
AUS,2.5,2013,9
AUS,2.5,2013,10
AUS,2.5,2013,11
AUS,2.5,2013,12
AUS,2.5,2014,1
AUS,2.5,2014,2
AUS,2.5,2014,3
AUS,2.5,2014,4
AUS,2.5,2014,5
AUS,2.5,2014,6
AUS,2.5,2014,7
AUS,2.5,2014,8
AUS,2.5,2014,9
AUS,2.5,2014,10
AUS,2.5,2014,11
AUS,2.5,2014,12
AUS,2.5,2015,1
AUS,2.28,2015,2
AUS,2.25,2015,3
AUS,2.25,2015,4
AUS,2.04,2015,5
AUS,2.0,2015,6
AUS,2.0,2015,7
AUS,2.0,2015,8
AUS,2.0,2015,9
AUS,2.0,2015,10
AUS,2.0,2015,11
AUS,2.0,2015,12
AUS,2.0,2016,1
AUS,2.0,2016,2
AUS,2.0,2016,3
AUS,2.0,2016,4
AUS,1.77,2016,5
AUS,1.75,2016,6
AUS,1.75,2016,7
AUS,1.52,2016,8
AUS,1.5,2016,9
AUS,1.5,2016,10
AUS,1.5,2016,11
AUS,1.5,2016,12
AUS,1.5,2017,1
AUS,1.5,2017,2
AUS,1.5,2017,3
AUS,1.5,2017,4
AUS,1.5,2017,5
AUS,1.5,2017,6
AUS,1.5,2017,7
AUS,1.5,2017,8
AUS,1.5,2017,9
AUS,1.5,2017,10
AUS,1.5,2017,11
AUS,1.5,2017,12
AUS,1.5,2018,1
AUS,1.5,2018,2
AUS,1.5,2018,3
AUS,1.5,2018,4
AUS,1.5,2018,5
AUS,1.5,2018,6
AUS,1.5,2018,7
AUS,1.5,2018,8
AUS,1.5,2018,9
AUS,1.5,2018,10
AUS,1.5,2018,11
AUS,1.5,2018,12
AUS,1.5,2019,1
AUS,1.5,2019,2
AUS,1.5,2019,3
AUS,1.5,2019,4
AUS,1.5,2019,5
AUS,1.28,2019,6
AUS,1.02,2019,7
AUS,1.0,2019,8
AUS,1.0,2019,9
AUS,0.76,2019,10
AUS,0.75,2019,11
AUS,0.75,2019,12
AUS,0.75,2020,1
AUS,0.75,2020,2
AUS,0.43,2020,3
AUS,0.25,2020,4
AUS,0.25,2020,5
AUS,0.25,2020,6
AUS,0.25,2020,7
AUS,0.25,2020,8
AUS,0.25,2020,9
AUS,0.25,2020,10
AUS,0.11,2020,11
AUS,0.1,2020,12
AUS,0.1,2021,1
AUS,0.1,2021,2
AUS,0.1,2021,3
AUS,0.1,2021,4
AUS,0.1,2021,5
AUS,0.1,2021,6
AUS,0.1,2021,7
AUS,0.1,2021,8
AUS,0.1,2021,9
AUS,0.1,2021,10
AUS,0.1,2021,11
AUS,0.1,2021,12
AUS,0.1,2022,1
AUS,0.1,2022,2
AUS,0.1,2022,3
AUS,0.1,2022,4
AUS,0.33,2022,5
AUS,0.73,2022,6
AUS,1.28,2022,7
AUS,1.81,2022,8
AUS,2.25,2022,9
NZL,5.12,2000,1
NZL,5.26,2000,2
NZL,5.51,2000,3
NZL,5.82,2000,4
NZL,6.24,2000,5
NZL,6.5,2000,6
NZL,6.5,2000,7
NZL,6.5,2000,8
NZL,6.5,2000,9
NZL,6.5,2000,10
NZL,6.5,2000,11
NZL,6.51,2000,12
NZL,6.5,2001,1
NZL,6.5,2001,2
NZL,6.35,2001,3
NZL,6.15,2001,4
NZL,5.87,2001,5
NZL,5.75,2001,6
NZL,5.75,2001,7
NZL,5.76,2001,8
NZL,5.55,2001,9
NZL,5.25,2001,10
NZL,4.96,2001,11
NZL,4.75,2001,12
NZL,4.75,2002,1
NZL,4.75,2002,2
NZL,4.84,2002,3
NZL,5.11,2002,4
NZL,5.39,2002,5
NZL,5.5,2002,6
NZL,5.73,2002,7
NZL,5.75,2002,8
NZL,5.75,2002,9
NZL,5.75,2002,10
NZL,5.75,2002,11
NZL,5.75,2002,12
NZL,5.75,2003,1
NZL,5.75,2003,2
NZL,5.75,2003,3
NZL,5.7,2003,4
NZL,5.51,2003,5
NZL,5.28,2003,6
NZL,5.19,2003,7
NZL,5.0,2003,8
NZL,5.0,2003,9
NZL,5.0,2003,10
NZL,5.0,2003,11
NZL,5.0,2003,12
NZL,5.03,2004,1
NZL,5.25,2004,2
NZL,5.25,2004,3
NZL,5.28,2004,4
NZL,5.5,2004,5
NZL,5.68,2004,6
NZL,5.77,2004,7
NZL,6.0,2004,8
NZL,6.18,2004,9
NZL,6.28,2004,10
NZL,6.5,2004,11
NZL,6.5,2004,12
NZL,6.5,2005,1
NZL,6.5,2005,2
NZL,6.67,2005,3
NZL,6.75,2005,4
NZL,6.75,2005,5
NZL,6.75,2005,6
NZL,6.75,2005,7
NZL,6.75,2005,8
NZL,6.75,2005,9
NZL,6.79,2005,10
NZL,7.0,2005,11
NZL,7.19,2005,12
NZL,7.25,2006,1
NZL,7.25,2006,2
NZL,7.25,2006,3
NZL,7.25,2006,4
NZL,7.25,2006,5
NZL,7.25,2006,6
NZL,7.25,2006,7
NZL,7.25,2006,8
NZL,7.25,2006,9
NZL,7.35,2006,10
NZL,7.45,2006,11
NZL,7.51,2006,12
NZL,7.41,2007,1
NZL,7.41,2007,2
NZL,7.59,2007,3
NZL,7.7,2007,4
NZL,7.89,2007,5
NZL,8.1,2007,6
NZL,8.2,2007,7
NZL,8.28,2007,8
NZL,8.02,2007,9
NZL,8.07,2007,10
NZL,8.33,2007,11
NZL,8.18,2007,12
NZL,8.16,2008,1
NZL,8.2,2008,2
NZL,8.1,2008,3
NZL,8.05,2008,4
NZL,8.06,2008,5
NZL,8.21,2008,6
NZL,8.03,2008,7
NZL,7.89,2008,8
NZL,7.52,2008,9
NZL,7.1,2008,10
NZL,6.26,2008,11
NZL,5.05,2008,12
NZL,4.66,2009,1
NZL,3.36,2009,2
NZL,3.08,2009,3
NZL,3.01,2009,4
NZL,2.37,2009,5
NZL,2.45,2009,6
NZL,2.43,2009,7
NZL,2.53,2009,8
NZL,2.58,2009,9
NZL,2.49,2009,10
NZL,2.41,2009,11
NZL,2.43,2009,12
NZL,2.42,2010,1
NZL,2.32,2010,2
NZL,2.35,2010,3
NZL,2.28,2010,4
NZL,2.32,2010,5
NZL,2.49,2010,6
NZL,2.68,2010,7
NZL,2.88,2010,8
NZL,2.91,2010,9
NZL,2.94,2010,10
NZL,2.91,2010,11
NZL,2.88,2010,12
NZL,2.92,2011,1
NZL,2.91,2011,2
NZL,2.5,2011,3
NZL,2.5,2011,4
NZL,2.45,2011,5
NZL,2.46,2011,6
NZL,2.4,2011,7
NZL,2.44,2011,8
NZL,2.39,2011,9
NZL,2.33,2011,10
NZL,2.34,2011,11
NZL,2.34,2011,12
NZL,2.4,2012,1
NZL,2.41,2012,2
NZL,2.43,2012,3
NZL,2.45,2012,4
NZL,2.44,2012,5
NZL,2.43,2012,6
NZL,2.5,2012,7
NZL,2.52,2012,8
NZL,2.49,2012,9
NZL,2.48,2012,10
NZL,2.49,2012,11
NZL,2.51,2012,12
NZL,2.45,2013,1
NZL,2.49,2013,2
NZL,2.47,2013,3
NZL,2.42,2013,4
NZL,2.48,2013,5
NZL,2.47,2013,6
NZL,2.43,2013,7
NZL,2.49,2013,8
NZL,2.5,2013,9
NZL,2.5,2013,10
NZL,2.49,2013,11
NZL,2.5,2013,12
NZL,2.52,2014,1
NZL,2.51,2014,2
NZL,2.65,2014,3
NZL,2.79,2014,4
NZL,3.0,2014,5
NZL,3.13,2014,6
NZL,3.28,2014,7
NZL,3.45,2014,8
NZL,3.46,2014,9
NZL,3.42,2014,10
NZL,3.42,2014,11
NZL,3.4,2014,12
NZL,3.42,2015,1
NZL,3.4,2015,2
NZL,3.42,2015,3
NZL,3.44,2015,4
NZL,3.41,2015,5
NZL,3.25,2015,6
NZL,3.07,2015,7
NZL,2.9,2015,8
NZL,2.76,2015,9
NZL,2.68,2015,10
NZL,2.65,2015,11
NZL,2.55,2015,12
NZL,2.39,2016,1
NZL,2.37,2016,2
NZL,2.21,2016,3
NZL,2.17,2016,4
NZL,2.16,2016,5
NZL,2.16,2016,6
NZL,2.11,2016,7
NZL,2.06,2016,8
NZL,1.92,2016,9
NZL,1.88,2016,10
NZL,1.74,2016,11
NZL,1.68,2016,12
NZL,1.66,2017,1
NZL,1.71,2017,2
NZL,1.66,2017,3
NZL,1.62,2017,4
NZL,1.67,2017,5
NZL,1.71,2017,6
NZL,1.63,2017,7
NZL,1.65,2017,8
NZL,1.64,2017,9
NZL,1.61,2017,10
NZL,1.64,2017,11
NZL,1.67,2017,12
NZL,1.66,2018,1
NZL,1.67,2018,2
NZL,1.67,2018,3
NZL,1.71,2018,4
NZL,1.73,2018,5
NZL,1.69,2018,6
NZL,1.67,2018,7
NZL,1.71,2018,8
NZL,1.68,2018,9
NZL,1.68,2018,10
NZL,1.72,2018,11
NZL,1.72,2018,12
NZL,1.67,2019,1
NZL,1.73,2019,2
NZL,1.73,2019,3
NZL,1.7,2019,4
NZL,1.51,2019,5
NZL,1.45,2019,6
NZL,1.43,2019,7
NZL,1.1,2019,8
NZL,0.96,2019,9
NZL,0.97,2019,10
NZL,0.99,2019,11
NZL,0.95,2019,12
NZL,0.92,2020,1
NZL,0.93,2020,2
NZL,0.56,2020,3
NZL,0.26,2020,4
NZL,0.25,2020,5
NZL,0.23,2020,6
NZL,0.21,2020,7
NZL,0.15,2020,8
NZL,0.26,2020,9
NZL,0.21,2020,10
NZL,0.22,2020,11
NZL,0.23,2020,12
NZL,0.24,2021,1
NZL,0.24,2021,2
NZL,0.23,2021,3
NZL,0.24,2021,4
NZL,0.22,2021,5
NZL,0.23,2021,6
NZL,0.23,2021,7
NZL,0.21,2021,8
NZL,0.2,2021,9
NZL,0.38,2021,10
NZL,0.54,2021,11
NZL,0.71,2021,12
NZL,0.67,2022,1
NZL,0.73,2022,2
NZL,0.94,2022,3
NZL,1.24,2022,4
NZL,1.53,2022,5
NZL,1.96,2022,6
NZL,2.2,2022,7
NZL,2.78,2022,8
NZL,2.9,2022,9
EU,5.3527,2000,1
EU,5.8408,2000,2
EU,5.762,2000,3
EU,5.9347,2000,4
EU,5.9122,2000,5
EU,5.9032,2000,6
EU,5.9867,2000,7
EU,5.8846,2000,8
EU,6.1259,2000,9
EU,5.8135,2000,10
EU,5.9811,2000,11
EU,5.7383,2000,12
EU,5.9208,2001,1
EU,5.8447,2001,2
EU,5.4017,2001,3
EU,5.3159,2001,4
EU,5.5203,2001,5
EU,4.7796,2001,6
EU,5.2943,2001,7
EU,4.8046,2001,8
EU,4.8526,2001,9
EU,4.5973,2001,10
EU,3.5761,2001,11
EU,4.5841,2001,12
EU,3.7685,2002,1
EU,4.0574,2002,2
EU,4.0431,2002,3
EU,3.752,2002,4
EU,3.9273,2002,5
EU,3.5006,2002,6
EU,3.861,2002,7
EU,4.1371,2002,8
EU,3.8711,2002,9
EU,4.0884,2002,10
EU,3.6521,2002,11
EU,4.3953,2002,12
EU,3.8044,2003,1
EU,3.7243,2003,2
EU,3.9196,2003,3
EU,3.619,2003,4
EU,3.6875,2003,5
EU,3.6535,2003,6
EU,3.2923,2003,7
EU,3.5053,2003,8
EU,3.5179,2003,9
EU,3.355,2003,10
EU,3.5483,2003,11
EU,3.7778,2003,12
EU,3.7159,2004,1
EU,4.0873,2004,2
EU,3.904,2004,3
EU,3.8914,2004,4
EU,4.203,2004,5
EU,4.3628,2004,6
EU,4.4623,2004,7
EU,4.63,2004,8
EU,4.7314,2004,9
EU,4.7297,2004,10
EU,4.7408,2004,11
EU,4.7618,2004,12
EU,4.7599,2005,1
EU,4.816,2005,2
EU,4.7618,2005,3
EU,4.8125,2005,4
EU,4.7079,2005,5
EU,4.7935,2005,6
EU,4.7546,2005,7
EU,4.5775,2005,8
EU,4.5499,2005,9
EU,4.4246,2005,10
EU,4.5458,2005,11
EU,4.6381,2005,12
EU,4.4829,2006,1
